"pitcher","total_pitches"
605488,2383
605498,3202
605507,1194
605513,4682
605525,2292
605538,5798
605540,7887
605541,4177
606131,7080
606149,3279
606160,4227
606162,1711
606167,2780
606273,1814
606424,4007
606625,2296
606930,4013
606965,5201
607067,2093
607074,9060
607188,3609
607192,7362
607200,5790
607215,1870
607219,4658
607229,5822
607231,6430
607237,4347
607259,2464
607352,5678
607359,1096
607374,3027
607391,1236
607455,1416
607457,4484
607473,1615
607481,3222
607536,10695
607560,1843
607572,1676
607625,6831
607644,5820
608032,4291
608328,1701
608331,7995
608334,2489
608335,1508
608337,11297
608344,3403
608349,3863
608371,3366
608379,11274
608566,12834
608638,2076
608648,6309
608652,1645
608665,6536
608678,3708
608716,3106
608717,6949
608718,5316
608723,2816
611093,1326
612434,5668
612672,5786
613534,1767
614179,1971
615698,4651
621052,2613
621056,1519
621076,2095
621097,1730
621107,9151
621111,10303
621112,2332
621114,1106
621121,9973
621142,1953
621199,3037
621219,3812
621237,3373
621242,5688
621244,14099
621249,1800
621261,1552
621295,4591
621345,3472
621366,2435
621368,2117
621381,4373
621385,1980
621389,5203
621397,1380
622065,3034
622072,9276
622075,2176
622088,1122
622092,1742
622097,2008
622098,1155
622250,1308
622251,1894
622253,1677
622259,1228
622446,2112
622491,11840
622503,1451
622505,1261
622554,1409
622608,9597
622663,8468
622694,3826
622766,1918
622772,1342
622864,1239
623149,3752
623167,4147
623184,3306
623352,4826
623364,1039
623381,1950
623395,1495
623430,2628
623433,1713
623439,1111
623451,1092
623465,1363
623470,1278
624133,2696
624586,1798
625643,9332
626929,1015
628317,12997
628333,2523
628452,6225
628711,7736
630023,3490
640444,2365
640448,1628
640455,11575
640463,1750
640464,1249
640470,2567
641154,5408
641302,3157
641312,2301
641341,1093
641394,1106
641401,1107
641427,1018
641438,1223
641482,3098
641540,2495
641571,1781
641582,1177
641627,1635
641712,4090
641729,3865
641743,1316
641745,8151
641755,2611
641771,7487
641778,6810
641793,2149
641816,8699
641835,2711
641838,2893
641851,1144
641871,2171
641927,1476
641941,4435
642003,2406
642028,1008
642073,1015
642083,1531
642092,1321
642098,3090
642121,1616
642130,1244
642152,3748
642203,1580
642207,1694
642231,1832
642232,8058
642397,2635
642528,2710
642545,5097
642547,6012
642558,3008
642564,1027
642607,1149
642701,1367
643230,6196
643256,3043
643290,1807
643316,2960
643327,8883
643338,6725
643354,1473
643377,1394
643410,1978
643493,3187
643511,1897
643617,1092
643778,2204
644364,1186
645261,7765
647336,3251
650382,1650
650530,1192
650633,1543
650644,3973
650671,1235
650828,1835
650893,2007
650895,3529
656186,2023
656222,3024
656232,1432
656257,1028
656288,3597
656302,5464
656322,1463
656354,1630
656420,1192
656427,8605
656464,1292
656529,1260
656546,5362
656547,2972
656557,1561
656605,3175
656629,1481
656685,2162
656731,1554
656756,6441
656794,7017
656849,1934
656876,1558
656887,1752
656945,2834
656954,3080
656970,1113
657024,1684
